	1H_pinene_CDCl3	1H_benzyl_benzoate_CDCl3	1H_limonene_CDCl3_3	1H_pinene_benzylbenzoate_CDCl3	
0.468322	0.000433745	-0.000239879	-3.95579e-06	-0.000486642	
0.468443	0.000396784	-0.000238009	8.54246e-05	-3.58261e-05	
0.468565	0.000582896	-0.000236087	0.000174861	0.000174966	
0.468687	0.000782948	-0.000234216	0.000192151	0.000155583	
0.468808	0.000760002	-0.000232287	-0.000136534	0.000136279	
0.46893	0.000504544	-0.000373103	-0.000583491	0.000147063	
0.469052	0.000472158	-0.000513919	-0.000684417	0.000157848	
0.469173	0.000806911	-0.000364721	-0.000597909	-7.1466e-05	
0.469295	0.00114166	-0.000215523	-0.000511401	-0.000300784	
0.469417	0.00105816	-1.07288e-06	-0.000540237	-0.000219967	
0.469538	0.000751579	0.00021337	-0.000569073	-0.000139151	
0.46966	0.000668073	0.000253819	-0.000309549	-5.8338e-05	
0.469782	0.00080771	0.000294261	-5.00255e-05	2.24784e-05	
0.469903	0.00081018	0.0002767	0.000279786	3.32631e-05	
0.470025	0.00081265	0.000259139	0.000609597	4.40516e-05	
0.470146	0.000912711	0.000241578	0.000420361	5.48363e-05	
0.470268	0.00123585	0.000224024	0.000231125	6.5621e-05	
0.47039	0.00133126	0.000162959	0.000124793	-4.36418e-05	
0.470511	0.0012036	0.000101902	1.84597e-05	-0.000152908	
0.470633	0.00108989	-0.000133164	-6.62459e-05	-0.000262175	
0.470755	0.00119932	-0.00036823	-0.000150952	-0.000371438	
0.470876	0.00129249	-0.000364043	-0.000411827	-0.000256546	
0.470998	0.00138572	-0.000359848	-0.000326671	-0.000141654	
0.47112	0.00147896	-0.000355661	4.68451e-05	-4.1768e-05	
0.471241	0.0015722	-0.000351466	7.43293e-05	5.81183e-05	
0.471363	0.00156319	-0.000325523	-0.000143292	0.000117987	
0.471484	0.00133112	-0.00029958	-0.000360914	-6.22459e-05	
0.471606	0.00122452	-0.000273637	-0.000196458	-0.000347521	
0.471728	0.00111792	-0.000247695	-3.2003e-05	-0.000232629	
0.471849	0.00102171	6.73458e-05	-0.00017393	-0.000128992	
0.471971	0.000925563	0.000382394	-0.000315857	-0.000265457	
0.472093	0.000903778	0.000523433	-0.000457784	-0.000241853	
0.472214	0.00110507	0.000664473	-0.000599711	-0.00021825	
0.472336	0.00124129	0.000355996	-0.0005506	-0.000149626	
0.472458	0.00100573	4.75273e-05	-0.000501489	-8.10027e-05	
0.472579	0.000472739	-8.69483e-05	-0.000279362	-1.23791e-05	
0.472701	-6.0251e-05	-0.000221416	-5.72344e-05	5.62444e-05	
0.472823	-0.000118632	-0.000186406	8.01869e-05	-0.000115547	
0.472944	-0.000176942	-0.000151351	0.000217665	-0.000287261	
0.473066	-0.000235252	-0.000116341	0.00018207	-0.000459053	
0.473187	-0.00029356	-8.12784e-05	0.000146532	-0.000630766	
0.473309	-0.000509879	-6.07744e-05	0.000258722	-0.000682507	
0.473431	-0.000726199	-4.02182e-05	0.000370968	-0.000734169	
0.473552	-0.000719445	-1.97142e-05	0.000101082	-0.000785913	
0.473674	-0.000712691	8.49366e-07	-0.000168749	-0.000837576	
0.473796	-0.000793148	0.000167266	-0.000339512	-0.000801779	
0.473917	-0.000873532	0.000333741	-0.000164187	-0.000765905	
0.474039	-0.000953916	9.41381e-05	-0.000183561	-0.000730108	
0.474161	-0.0010343	-0.000145398	-0.000202879	-0.00069423	
0.474282	-0.00118439	-0.000276245	-0.000269111	-0.000673443	
0.474404	-0.00133449	-0.000407033	-0.000335288	-0.000652574	
0.474525	-0.00126151	-0.000247866	-0.000228505	-0.000631783	
0.474647	-0.00118854	-8.8647e-05	-0.000121665	-0.000610914	
0.474769	-0.00112572	1.75014e-05	-0.000234305	-0.000439122	
0.47489	-0.00106291	0.000123709	-0.00034689	-0.000267252	
0.475012	-0.00122317	0.000229858	-0.000286514	-0.000335563	
0.475134	-0.00138343	0.000336058	-0.000226083	-0.000403795	
0.475255	-0.00115332	-3.26782e-05	-0.00036035	-0.000186983	
0.475377	-0.000923201	-0.00040137	-0.000494562	2.99029e-05	
0.475499	-0.000916157	-0.000364095	-0.000225125	6.61239e-06	
0.47562	-0.00113211	-0.000326768	4.43673e-05	-0.000256702	
0.475742	-0.00110183	-6.47381e-05	0.000102039	-0.000406299	
0.475864	-0.000699766	0.000197344	0.000159767	-0.000155643	
0.475985	-0.000297699	0.000169359	4.44236e-05	7.99261e-05	
0.476107	-0.00026742	0.000141434	-7.08643e-05	-8.45976e-05	
