,Mieszanina_perfumy_bez menthonu
-0.249273,0.00130995
-0.247517,0.00134093
-0.245761,0.00137192
-0.244005,0.0013778
-0.242249,0.00138368
-0.240493,0.00137614
-0.238738,0.0013686
-0.236982,0.00134789
-0.235226,0.00132717
-0.23347,0.0013347
-0.231714,0.00137235
-0.229958,0.00142506
-0.228203,0.00144765
-0.226447,0.00144184
-0.224691,0.00143603
-0.222935,0.00144466
-0.221179,0.00148341
-0.219424,0.0015231
-0.217668,0.00153267
-0.215912,0.00152592
-0.214156,0.00151916
-0.2124,0.00153179
-0.210644,0.00154442
-0.208889,0.00155704
-0.207133,0.00156967
-0.205377,0.00160708
-0.203621,0.0016445
-0.201865,0.0016656
-0.200109,0.00165657
-0.198354,0.0016448
-0.196598,0.00166314
-0.194842,0.00170785
-0.193086,0.00175256
-0.19133,0.00178942
-0.189574,0.00182629
-0.187819,0.00186315
-0.186063,0.00190001
-0.184307,0.00193892
-0.182551,0.00197782
-0.180795,0.00200166
-0.179039,0.0020255
-0.177284,0.00202643
-0.175528,0.00202736
-0.173772,0.00204461
-0.172016,0.00209199
-0.17026,0.00213862
-0.168504,0.00215512
-0.166749,0.00215531
-0.164993,0.0021555
-0.163237,0.00213685
-0.161481,0.00211821
-0.159725,0.00208451
-0.157969,0.0020508
-0.156214,0.00204408
-0.154458,0.00203737
-0.152702,0.00201559
-0.150946,0.0019938
-0.14919,0.00200435
-0.147434,0.00201489
-0.145679,0.00201037
-0.143923,0.00200585
-0.142167,0.00198509
-0.140411,0.00196433
-0.138655,0.00194357
-0.136899,0.0019228
-0.135144,0.00189671
-0.133388,0.00187061
-0.131632,0.00182946
-0.129876,0.0017883
-0.12812,0.0017746
-0.126364,0.0017609
-0.124609,0.00176226
-0.122853,0.00176362
-0.121097,0.00176624
-0.119341,0.00176886
-0.117585,0.00175516
-0.115829,0.00171133
-0.114074,0.00167681
-0.112318,0.0016724
-0.110562,0.00167522
-0.108806,0.00167803
-0.10705,0.00169057
-0.105294,0.00171818
-0.103539,0.00173104
-0.101783,0.00171377
-0.100027,0.00168159
-0.098271,0.00167954
-0.0965152,0.00169224
-0.0947594,0.00168988
-0.0930035,0.00167747
-0.0912477,0.00166507
-0.0894919,0.00166678
-0.087736,0.0016685
-0.0859802,0.00166266
-0.0842244,0.00165683
-0.0824685,0.00165099
-0.0807127,0.00164516
-0.0789569,0.00164576
-0.0772011,0.00164636
-0.0754452,0.00165449
-0.0736894,0.00166262
-0.0719336,0.00164533
-0.0701777,0.00162804
-0.0684219,0.00162581
-0.0666661,0.00162358
-0.0649102,0.00160943
-0.0631544,0.00159528
-0.0613986,0.00161628
-0.0596427,0.00163727
-0.0578869,0.00163799
-0.0561311,0.00163871
-0.0543752,0.00163189
-0.0526194,0.00162508
-0.0508636,0.00163018
-0.0491077,0.00163529
-0.0473519,0.00164793
-0.0455961,0.00166058
-0.0438402,0.00164878
-0.0420844,0.00163698
-0.0403286,0.00164025
-0.0385727,0.00164351
-0.0368169,0.00165556
-0.0350611,0.00166762
-0.0333052,0.00166461
-0.0315494,0.0016616
-0.0297936,0.00166409
-0.0280377,0.00166659
-0.0262819,0.00166155
-0.0245261,0.00165652
-0.0227702,0.00164254
-0.0210144,0.00162856
-0.0192586,0.00163968
-0.0175027,0.00165081
-0.0157469,0.00166001
-0.0139911,0.00166922
-0.0122352,0.00167842
-0.0104794,0.00168762
-0.00872357,0.00166199
-0.00696774,0.00163636
-0.00521191,0.0016258
-0.00345608,0.00161523
-0.00170024,0.00160964
5.55891E-05,0.00160406
0.00181142,0.00159565
0.00356725,0.00161737
0.00532309,0.00164756
0.00707892,0.00166268
0.00883475,0.001664
0.0105906,0.00166532
0.0123464,0.00167919
0.0141023,0.00170813
0.0158581,0.00173047
0.0176139,0.00172269
0.0193697,0.00170063
0.0211256,0.00167857
0.0228814,0.00166404
0.0246372,0.00164951
0.0263931,0.00163152
0.0281489,0.00164365
0.0299047,0.00167147
0.0316606,0.00168423
0.0334164,0.00166561
0.0351722,0.00163192
0.0369281,0.00161393
0.0386839,0.00162606
0.0404397,0.00163513
0.0421956,0.0016442
0.0439514,0.00164762
0.0457072,0.00165104
0.0474631,0.00164615
0.0492189,0.00164126
0.0509747,0.00163636
0.0527306,0.00163147
0.0544864,0.00161328
0.0562422,0.00159509
0.0579981,0.00161204
0.0597539,0.001629
0.0615097,0.00162148
0.0632656,0.00161395
0.0650214,0.00161396
0.0667772,0.00161397
